"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX";"0";"0";
"Id";"Recall";"Precision";"Difference";"Recall";"Precision";"Difference";"Recall";"Precision";"Difference";"Recall";"Precision";"Difference";
"Marker";"NAN";"0";"0";"NAN";"0";"0";"15,72";"53,21";"-37,49";"NAN";"0";"0";
"Title";"82,77";"78,86";"3,91";"95,62";"70,16";"25,46";"76,71";"78,88";"-2,17";"NAN";"0";"0";
"Source";"55,51";"52,09";"3,42";"69,36";"78,36";"-9";"40,15";"16,44";"23,71";"NAN";"0";"0";
"Publisher";"NAN";"0";"0";"87,21";"62,80";"24,41";"10,15";"6,36";"3,79";"NAN";"0";"0";
"Editor";"NAN";"0";"0";"NAN";"0";"0";"0";"0";"0";"NAN";"0";"0";
"Authors";"73,83";"72,10";"1,73";"83,73";"83,60";"0,13";"93,05";"92,07";"0,98";"NAN";"0";"0";
"Edition";"NAN";"0";"0";"NAN";"0";"0";"NAN";"0";"0";"NAN";"0";"0";
"Location";"NAN";"0";"0";"78,13";"28,63";"49,50";"7,35";"8,30";"-0,95";"NAN";"0";"0";
"Volume";"82,71";"83,33";"-0,62";"99,21";"79,97";"19,24";"88,19";"87,89";"0,30";"NAN";"0";"0";
"Issue";"89,03";"87,92";"1,11";"96,19";"78,31";"17,88";"97,15";"67,32";"29,83";"NAN";"0";"0";
"Chapter";"NAN";"0";"0";"NAN";"0";"0";"NAN";"0";"0";"NAN";"0";"0";
"Note";"NAN";"0";"0";"NAN";"0";"0";"4,71";"3,45";"1,26";"NAN";"0";"0";
"Page from";"86,40";"86,83";"-0,43";"96,73";"88,48";"8,25";"NAN";"0";"0";"NAN";"0";"0";
"Page to";"98,35";"90,99";"7,36";"95,40";"89,65";"5,75";"NAN";"0";"0";"NAN";"0";"0";
"Date";"NAN";"0";"0";"94,86";"96,40";"-1,54";"NAN";"0";"0";"NAN";"0";"0";
"Doi";"NAN";"0";"0";"NAN";"0";"0";"NAN";"0";"0";"NAN";"0";"0";
"Url";"NAN";"0";"0";"70,91";"44,83";"26,08";"NAN";"0";"0";"NAN";"0";"0";
"Average";"81,23";"32,48";"48,75";"87,94";"47,13";"40,81";"43,32";"24,35";"18,97";"NAN";"0";"0";
