"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX";"";""
"Id";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1"
"Marker";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00";"78,11";"78,11";"78,11";"NAN";"0,00";"0,00"
"Title";"82,98";"79,14";"76,91";"94,89";"70,06";"69,86";"76,72";"79,05";"74,74";"NAN";"0,00";"0,00"
"Source";"55,71";"52,27";"50,11";"69,30";"78,36";"68,98";"40,15";"16,26";"16,05";"NAN";"0,00";"0,00"
"Publisher";"NAN";"0,00";"0,00";"85,64";"62,04";"59,03";"10,15";"6,31";"6,19";"NAN";"0,00";"0,00"
"Editor";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00";"0,00";"0,00";"0,00";"NAN";"0,00";"0,00"
"Authors";"73,85";"72,05";"69,57";"81,73";"81,89";"80,49";"93,27";"92,19";"91,24";"NAN";"0,00";"0,00"
"Edition";"NAN";"0,00";"0,00";"92,86";"76,47";"72,22";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Location";"NAN";"0,00";"0,00";"80,00";"28,90";"28,36";"7,35";"8,27";"6,99";"NAN";"0,00";"0,00"
"Volume";"83,17";"83,17";"75,06";"90,28";"95,12";"87,03";"87,89";"88,03";"79,67";"NAN";"0,00";"0,00"
"Issue";"89,08";"87,60";"80,00";"95,22";"77,93";"76,44";"97,19";"67,04";"66,48";"NAN";"0,00";"0,00"
"Chapter";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Note";"NAN";"0,00";"0,00";"10,61";"16,28";"7,61";"4,65";"3,51";"2,35";"NAN";"0,00";"0,00"
"Page from";"86,54";"86,83";"84,30";"96,67";"92,84";"91,23";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Page to";"98,35";"90,99";"90,37";"95,41";"94,22";"92,55";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Date";"NAN";"0,00";"0,00";"94,87";"96,13";"93,70";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Doi";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Url";"NAN";"0,00";"0,00";"74,42";"36,78";"34,78";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Average";"81,38";"32,47";"30,96";"81,68";"53,35";"50,72";"49,55";"25,81";"24,81";"NAN";"0,00";"0,00"
