;"Precision";;;;;"Recall";;;;;"F1";
"Id";"best";"max";"Grobid best";"Grobid";"Diff";"best";"max";"Grobid best";"Grobid";"Diff";"best";"max";"Grobid best";"Grobid";"Diff";"best ident";;;"Precision";"Recall";"F1";"Summe";
"Title";"Cermine";"94,79";"0";"87,63";"7,16";"Cermine";"91";"0";"85";"6";"Cermine";"91";"0";"85";"6";"1";;"Cermine";"3";"9";"4";"16";
"Abstract";"PDFX";"83,10";"0";"61";"22,10";"Cermine";"69,57";"0";"61";"8,57";"Grobid";"67,39";"1";"61";"6,39";"0";;"Grobid";"14";"11";"15";"40";
"Abstract (german)";"none";"0";"0";"69,66";"-69,66";"Cermine";"0";"0";"67,39";"-67,39";"Cermine";"0";"0";"67,39";"-67,39";"0";;"ParsCit";"1";"0";"1";"2";
"Keywords";"Cermine";"84,67";"0";"not defined";"#VALUE!";"Cermine";"67,96";"0";"0";"67,96";"Cermine";"63,97";"0";"0";"63,97";"1";;"PDFX";"1";"0";"0";"1";
"Authors";"Grobid";"85,58";"1";"82,73";"2,85";"Grobid";"89,35";"1";"63,94";"25,41";"Grobid";"84,87";"1";"61,94";"22,93";"1";
"Emails";"Grobid";"90,32";"1";"84,32";"6";"Cermine";"70,65";"0";"88,40";"-17,75";"Grobid";"63,69";"1";"83,84";"-20,15";"0";
"Author-Emails";"Grobid";"85,59";"1";"90,32";"-4,73";"Cermine";"66,67";"0";"61,96";"4,71";"Grobid";"60,07";"1";"63,69";"-3,62";"0";
"Affiliations";"Grobid";"89,29";"1";"85,59";"3,70";"Grobid";"82,68";"1";"58,33";"24,35";"Grobid";"82,40";"1";"60,07";"22,33";"1";
"Author-Affiliations";"Grobid";"65,89";"1";"88,16";"-22,27";"Grobid";"69,60";"1";"79,04";"-9,44";"Grobid";"64,02";"1";"78,68";"-14,66";"1";
"Source";"Grobid";"66,67";"1";"65,29";"1,38";"Grobid";"21,05";"1";"66,89";"-45,84";"Grobid";"20";"1";"61,55";"-41,55";"1";
"Volume";"Grobid";"100";"1";"62,50";"37,50";"Grobid";"100";"1";"26,32";"73,68";"Grobid";"100";"1";"25";"75";"1";
"Issue";"Grobid";"100";"1";"60";"40";"Grobid";"100";"1";"100";"0";"Grobid";"100";"1";"60";"40";"1";
"Page from";"Grobid";"100";"1";"50";"50";"Cermine";"100";"0";"100";"0";"Grobid";"50";"1";"50";"0";"0";
"Page to";"Grobid";"100";"1";"75";"25";"Cermine";"100";"0";"75";"25";"Grobid";"50";"1";"60";"-10";"0";
"Year";"Cermine";"48,84";"0";"75";"-26,16";"Cermine";"65,63";"0";"75";"-9,37";"Cermine";"46,67";"0";"60";"-13,33";"1";
"Doi";"Grobid";"100";"1";"not defined";"#VALUE!";"Grobid";"100";"1";"0";"100";"Grobid";"100";"1";"0";"100";"1";
"Sections";"Grobid";"83,45";"1";"83,33";"0,12";"Grobid";"83,95";"1";"31,25";"52,70";"Grobid";"81,75";"1";"29,41";"52,34";"1";
"Section-Levels";"Grobid";"95,45";"1";"100";"-4,55";"Grobid";"84,14";"1";"100";"-15,86";"Grobid";"86,99";"1";"100";"-13,01";"1";
"Section-References";"Grobid";"62,71";"1";"83,32";"-20,61";"Grobid";"47,77";"1";"87,24";"-39,47";"Grobid";"48,73";"1";"83,60";"-34,87";"1";
"References";"ParsCit";"97,25";"0";"95,33";"1,92";"Grobid";"90,93";"1";"84,04";"6,89";"ParsCit";"92,44";"0";"86,88";"5,56";"0";
;;;;;;;;;;;;;;;;;
"Average";"Grobid";"86,45";"1";"92,24";"-5,79";"Grobid";"65,30";"1";"91,57";"-26,27";"Grobid";"64,76";"1";"89,11";"-24,35";"1";

"grobid best";
